timestamp(ms),acc.x,acc.y,acc.z
0.0,0.4150390625,-0.6235198974609375,-0.5203704833984375
20,0.412338257,-0.639755249,-0.633987427
40,0.354492188,-0.711029053,-0.599578857
60,0.36807251,-0.739959717,-0.513015747
80,0.386566162,-0.781234741,-0.466415405
100,0.374145508,-0.768264771,-0.463012695
120,0.364700317,-0.735916138,-0.472961426
140,0.389328003,-0.700942993,-0.557235718
160,0.362487793,-0.70161438,-0.611602783
180,0.33782959,-0.730758667,-0.61541748
200,0.369598389,-0.784210205,-0.61958313
220,0.395629883,-0.787765503,-0.598251343
240,0.440444946,-0.876235962,-0.428695679
260,0.496627808,-0.933959961,-0.316772461
280,0.492126465,-0.992446899,-0.416809082
300,0.382797241,-0.951675415,-0.354431152
320,0.374435425,-0.943313599,-0.289382935
340,0.350738525,-0.986557007,-0.350128174
360,0.352600098,-0.976226807,-0.327850342
380,0.351257324,-1.060836792,-0.202072144
400,0.346740723,-1.063812256,-0.095291138
420,0.299179077,-0.968338013,-0.043823242
440,0.271850586,-1.001617432,0.080581665
460,0.253509521,-0.823944092,0.143341064
480,0.30291748,-1.050216675,-0.185211182
500,0.296203613,-1.07460022,-0.351852417
520,0.374084473,-1.03855896,-0.306274414
540,0.40814209,-0.989151001,-0.188446045
560,0.428771973,-0.977386475,-0.116424561
580,0.438140869,-1.053390503,-0.170883179
600,0.380050659,-1.161636353,-0.21156311
620,0.384033203,-1.24822998,-0.089157104
640,0.328948975,-1.235092163,0.155776978
660,0.239181519,-1.241729736,0.279632568
680,0.199813843,-1.223709106,0.230255127
700,0.174163818,-1.139968872,0.112991333
720,0.176879883,-1.046203613,-0.017700195
740,0.140167236,-0.99005127,-0.072341919
760,0.166564941,-0.957489014,-0.031982422
780,0.14680481,-0.922958374,0.06590271
800,0.140716553,-0.902206421,0.078552246
820,0.219848633,-0.922348022,0.006164551
840,0.192260742,-0.881958008,0.02532959
860,0.215927124,-0.812255859,0.071609497
880,0.228149414,-0.759796143,0.101165771
900,0.172210693,-0.750183105,0.099716187
920,0.149780273,-0.723846436,0.157043457
940,0.146896362,-0.732528687,0.203826904
960,0.147079468,-0.727310181,0.214645386
980,0.122619629,-0.757522583,0.198135376
1000,0.070724487,-0.796722412,0.140213013
1020,0.086166382,-0.764633179,0.155715942
